Rank,Name,Meet,Time,Time in Seconds,Flags
7,Lauren Miedema,Calvin v Albion v Alma,11:34.04,694.04,
8,Eden Maring,Calvin at Wheaton,11:41.88,701.88,
9,Kailee Turner,2024 Calvin Kalamazoo Olivet,11:41.94,701.94,X
10,Ashley Sap,Calvin Winter Invitational,11:56.15,716.15,X
1,Charles Platt,MIAA Championships,22.43,22.43,R
2,David Bajwa,MIAA Championships,22.47,22.47,R
3,Corey Campbell,MIAA Championships,22.70,22.7,
4,Timothy Hays,Calvin Winter Invitational,23.03,23.03,R
5,Ted Turnage,Calvin Winter Invitational,24.05,24.05,R
6,Austin Martinson,Calvin Winter Invitational,24.41,24.41,R
7,Jacob Ziegler,Calvin Wayne State,24.99,24.99,R
8,Ryan Halberg,Calvin Winter Invitational,25.43,25.43,R
9,Jonathan Taylor,Calvin Winter Invitational,25.89,25.89,R
10,Zach Logan,MIAA Championships,25.97,25.97,X
11,Henry Phippen,MIAA Championships,26.09,26.09,
12,Mike Wormmeester,MIAA Championships,26.25,26.25,
13,Logan Yakubowski,GCC v Calvin,26.70,26.7,R
14,Carter Detweiler,MIAA Championships,26.99,26.99,
15,Jake Schotanus,Calvin Winter Invitational,27.16,27.16,X
16,Jazz Widney,Calvin v Albion v Alma,27.37,27.37,X
17,Julien Camy,GCC v Calvin,27.69,27.69,X
18,Peter Crudele,MIAA Championships,28.15,28.15,
19,Nate Kaestner,MIAA Championships,28.56,28.56,
1,Isabella Gable,Calvin Winter Invitational,26.53,26.53,R
2,Sadie Norman,MIAA Championships,26.54,26.54,R
3,Madi McNearney,Calvin Quad,27.72,27.72,R
4,Emma Merkel,Calvin Quad,27.77,27.77,R
5,Meghan Bengelink,MIAA Championships,28.37,28.37,R
6,Katie Phippen,MIAA Championships,28.80,28.8,R
7,Annie Connors,Calvin Winter Invitational,28.91,28.91,R
8,Lauren Robertson,MIAA Championships,28.94,28.94,R
9,Abby Merz,CMU Quad Meet,29.34,29.34,R
10,Natalie Fisher,MIAA Relays,29.63,29.63,R
11,Tori Beigle,MIAA Championships,30.30,30.3,R
12,Rachel Haitonic,Calvin Winter Invitational,30.92,30.92,R
13,Eden Maring,Calvin v Albion v Alma,31.29,31.29,R
14,Aly Hoover,Calvin Winter Invitational,31.38,31.38,X
15,Maya Bedford,MIAA Championships,32.65,32.65,
16,Ashley Sap,MIAA Championships,34.20,34.2,
17,Cailin Ogg,MIAA Championships,34.71,34.71,
1,David Bajwa,NCAA Division III Championship,47.44,47.44,
2,Charles Platt,NCAA Division III Championship,48.15,48.15,
3,Timothy Hays,Calvin Quad,50.27,50.27,R
4,Ted Turnage,Calvin Winter Invitational,52.09,52.09,
5,Austin Martinson,Calvin Winter Invitational,52.16,52.16,R
6,Jacob Ziegler,MIAA Championships,52.57,52.57,R
7,Corey Campbell,MIAA Championships,52.84,52.84,R
8,Ryan Halberg,MIAA Championships,53.88,53.88,R
9,Zach Logan,MIAA Championships,53.98,53.98,
10,Julien Camy,GCC v Calvin,56.73,56.73,
11,Jonathan Taylor,Calvin Winter Invitational,56.90,56.9,
12,Jake Schotanus,Calvin Winter Invitational,57.43,57.43,
13,Jazz Widney,Calvin v Albion v Alma,57.56,57.56,
14,Mike Wormmeester,Calvin Winter Invitational,57.67,57.67,R
15,Nate Kaestner,Calvin Winter Invitational,59.09,59.09,
16,Henry Phippen,GCC v Calvin,59.51,59.51,
1,Emma Merkel,Calvin Quad,57.01,57.01,R
2,Isabella Gable,Calvin Winter Invitational,57.06,57.06,R
3,Sadie Norman,MIAA Championships,58.22,58.22,R
4,Madi McNearney,Calvin Quad,58.99,58.99,R
5,Katie Phippen,Calvin Winter Invitational,1:00.63,60.63,R
6,Annie Connors,Calvin Winter Invitational,1:01.51,61.51,R
7,Natalie Fisher,GCC v Calvin,1:03.38,63.38,
8,Lauren Robertson,MIAA Championships,1:03.70,63.7,
9,Tori Beigle,Calvin Winter Invitational,1:04.44,64.44,
10,Meghan Bengelink,Calvin at Wheaton,1:04.58,64.58,
11,Abby Merz,GCC v Calvin,1:05.50,65.5,
12,Rachel Haitonic,Hope vs. Calvin,1:05.63,65.63,
13,Aly Hoover,Calvin Winter Invitational,1:07.30,67.3,
14,Cailin Ogg,Calvin Winter Invitational,1:12.40,72.4,
15,Maya Bedford,Calvin GVSU SVSU,1:13.22,73.22,
1,David Bajwa,MIAA Championships,1:45.25,105.25,D3 B
2,Charles Platt,MIAA Championships,1:47.25,107.25,D3 B
3,Timothy Hays,Calvin Quad,1:50.21,110.21000000000001,
4,Jacob Ziegler,MIAA Championships,1:54.34,114.34,
5,Ryan Halberg,Calvin Winter Invitational,1:56.59,116.59,
6,Austin Martinson,CMU Quad Meet,1:58.56,118.56,
7,Ted Turnage,Calvin Winter Invitational,2:00.04,120.04,
8,Mike Wormmeester,MIAA Championships,2:00.92,120.92,
9,Henry Phippen,Calvin at Wheaton,2:09.25,129.25,
10,Logan Yakubowski,Calvin at Wheaton,2:09.60,129.6,
11,Nate Kaestner,Calvin Wayne State,2:12.43,132.43,
12,Jonathan Taylor,Calvin Quad,2:14.46,134.46,
1,Emma Merkel,Calvin Quad,2:01.32,121.32,D3 B
2,Isabella Gable,MIAA Championships,2:02.50,122.5,D3 B
3,Madi McNearney,Calvin GVSU SVSU,2:08.08,128.08,
4,Sadie Norman,MIAA Championships,2:11.87,131.87,
5,Abby Merz,Calvin Wayne State,2:14.52,134.52,
6,Katie Phippen,Calvin Winter Invitational,2:15.67,135.67,
7,Annie Connors,2024 Calvin Kalamazoo Olivet,2:17.08,137.07999999999998,
8,Natalie Fisher,Calvin Wayne State,2:20.22,140.22,
9,Tori Beigle,Calvin Winter Invitational,2:22.21,142.21,
10,Rachel Haitonic,Calvin Winter Invitational,2:23.05,143.05,
11,Grace Carpenter,Calvin at Wheaton,2:24.26,144.26,
12,Maya Bedford,Calvin GVSU SVSU,2:35.76,155.76,
1,Caleb Gemmen,Calvin Winter Invitational,25.51,25.51,X
2,Timothy Hays,MIAA Championships,25.88,25.88,X
3,Mohamed Abujiba,MIAA Championships,26.09,26.09,
4,Anthony Crudele,MIAA Championships,26.50,26.5,X
5,David Bajwa,MIAA Championships,27.10,27.1,X
6,Logan Yakubowski,MIAA Championships,27.22,27.22,
7,Luke Foll,MIAA Championships,27.47,27.47,
8,Charles Platt,GCC v Calvin,27.57,27.57,X
9,Drew Schmid,MIAA Championships,27.91,27.91,
10,Josh Krampe,Calvin GVSU SVSU,29.08,29.08,X
11,Andrew Stimpert,Calvin Wayne State,29.63,29.63,X
1,Elise Bajwa,MIAA Championships,29.34,29.34,
2,Maggie Farrell,Calvin Wayne State,31.38,31.38,X
3,Elyse Radawski,Calvin Winter Invitational,31.45,31.45,X
4,Anya Hopek,MIAA Championships,31.74,31.74,
5,Sophia Korfmacher,Calvin Winter Invitational,31.80,31.8,X
6,Abby Merz,MIAA Championships,32.65,32.65,X
7,Kaelin Kelley,Calvin Winter Invitational,33.19,33.19,X
8,Aly Hoover,MIAA Championships,33.37,33.37,
9,Megan Pankratz,MIAA Championships,33.56,33.56,X
10,Sydney Sonday,Calvin at Wheaton,33.92,33.92,X
11,Natalie Vroon,MIAA Championships,34.86,34.86,
12,Maya Bedford,Calvin Wayne State,35.57,35.57,X
13,Milana Srbinovski,Calvin Winter Invitational,35.78,35.78,X
1,Caleb Gemmen,NCAA Division III Championship,55.04,55.04,
2,Timothy Hays,MIAA Championships,55.81,55.81,
3,Anthony Crudele,MIAA Championships,57.01,57.01,
4,Mohamed Abujiba,Calvin Winter Invitational,57.63,57.63,
5,Charles Platt,GCC v Calvin,58.28,58.28,
6,David Bajwa,MIAA Championships,58.48,58.48,
7,Logan Yakubowski,Calvin Winter Invitational,59.29,59.29,
8,Luke Foll,Calvin Winter Invitational,59.78,59.78,
9,Drew Schmid,Calvin Winter Invitational,1:00.64,60.64,
10,Josh Krampe,Calvin GVSU SVSU,1:01.66,61.66,
11,Andrew Stimpert,Calvin Wayne State,1:03.22,63.22,
1,Elise Bajwa,MIAA Championships,1:04.74,64.74,
2,Maggie Farrell,Calvin Wayne State,1:06.88,66.88,
3,Elyse Radawski,Calvin Winter Invitational,1:07.83,67.83,
4,Anya Hopek,MIAA Championships,1:08.95,68.95,
5,Sophia Korfmacher,Calvin Quad,1:08.99,68.99,
6,Kaelin Kelley,Calvin Winter Invitational,1:10.27,70.27,
7,Abby Merz,MIAA Championships,1:10.56,70.56,
8,Megan Pankratz,Calvin Winter Invitational,1:11.37,71.37,
9,Sydney Sonday,Calvin at Wheaton,1:11.76,71.76,
10,Aly Hoover,MIAA Championships,1:13.67,73.67,
11,Maya Bedford,Calvin Wayne State,1:15.23,75.23,
12,Natalie Vroon,Calvin Quad,1:15.72,75.72,
13,Milana Srbinovski,Calvin Winter Invitational,1:17.41,77.41,
1,Caleb Gemmen,Calvin Winter Invitational,2:00.07,120.07,D3 B
2,Timothy Hays,Hope vs. Calvin,2:05.41,125.41,
3,David Bajwa,Calvin Winter Invitational,2:07.38,127.38,
4,Anthony Crudele,MIAA Championships,2:07.39,127.39,
5,Mohamed Abujiba,Calvin Winter Invitational,2:07.60,127.6,
6,Logan Yakubowski,MIAA Championships,2:10.69,130.69,
7,Drew Schmid,Calvin Winter Invitational,2:13.51,133.51,
8,Luke Foll,Calvin Winter Invitational,2:15.46,135.46,
9,Eric Chimes,Calvin at Wheaton,2:15.51,135.51,
10,Andrew Stimpert,Calvin at Wheaton,2:21.70,141.7,
11,Josh Krampe,Calvin GVSU SVSU,2:22.77,142.77,
1,Elise Bajwa,MIAA Championships,2:24.01,144.01,
2,Sophia Korfmacher,Calvin Quad,2:28.00,148,
3,Elyse Radawski,MIAA Championships,2:30.16,150.16,
4,Maggie Farrell,Calvin Wayne State,2:31.19,151.19,
5,Abby Merz,2024 Calvin Kalamazoo Olivet,2:36.19,156.19,
6,Megan Pankratz,Calvin Wayne State,2:38.07,158.07,
7,Kaelin Kelley,CMU Quad Meet,2:38.48,158.48,
8,Anya Hopek,Calvin Quad,2:39.91,159.91,
9,Natalie Vroon,MIAA Championships,2:43.30,163.3,
10,Aly Hoover,2024 Calvin Kalamazoo Olivet,2:49.74,169.74,
1,Forrest Peterson,MIAA Championships,21.31,21.31,
2,Julien Camy,NCAA Division III Championship,21.67,21.67,X
3,David Bajwa,MIAA Championships,22.33,22.33,X
4,Corey Campbell,MIAA Championships,22.43,22.43,X
5,Jazz Widney,MIAA Championships,22.80,22.8,
6,Austin Martinson,MIAA Championships,23.22,23.22,X
7,Vlad Molin,MIAA Championships,23.39,23.39,X
8,Benjamin Wichhart,MIAA Championships,23.42,23.42,
9,Steven Devaughn,MIAA Championships,23.69,23.69,
10,Eric Chimes,Calvin v Albion v Alma,23.79,23.79,X
11,Logan Yakubowski,MIAA Championships,23.84,23.84,X
12,Timothy Hays,Calvin at Wheaton,24.12,24.12,X
13,Will Bales,MIAA Championships,24.15,24.15,
14,Tater Ring,MIAA Championships,24.50,24.5,
15,Jake Schotanus,Calvin Winter Invitational,24.56,24.56,X
16,Ethan Wayne,MIAA Championships,24.77,24.77,
17,Zach Logan,Calvin Wayne State,25.08,25.08,X
18,Jacob Ziegler,GCC v Calvin,25.33,25.33,X
19,Mohamed Abujiba,GCC v Calvin,25.64,25.64,X
20,Caleb Gemmen,Calvin v Albion v Alma,25.67,25.67,X
1,Maria Pfundt,Calvin Quad,19.96,19.96,X
2,Maggie Farrell,NCAA Division III Championship,25.36,25.36,X
3,Sydney Sonday,MIAA Championships,26.07,26.07,X
4,Natalie Fisher,MIAA Championships,26.49,26.49,
5,Sadie Norman,MIAA Championships,27.09,27.09,X
6,Jorie Cho,MIAA Championships,27.59,27.59,
7,Kristin Winkle,MIAA Championships,27.86,27.86,X
8,Sophia Korfmacher,Calvin Winter Invitational,27.89,27.89,X
9,Lauren Miedema,GCC v Calvin,27.95,27.95,
