Rank,Name,Meet,Time,Time in Seconds,Flags,Event ID,Event,Gender
8,Ethan Wayne,2024 Calvin Kalamazoo Olivet,11:14.82,674.82,X,11000,1000 Free,Male
9,Peter Crudele,Calvin Winter Invitational,11:15.53,675.53,X,11000,1000 Free,Male
1,Emma Merkel,Hope vs. Calvin,10:49.01,649.01,,11000,1000 Free,Female
2,Megan Pankratz,MIAA Championships,11:01.82,661.82,X,11000,1000 Free,Female
3,Becca Streelman,Hope vs. Calvin,11:14.80,674.8,,11000,1000 Free,Female
4,Madi McNearney,CMU Quad Meet,11:18.38,678.38,,11000,1000 Free,Female
5,Lynda Steen,MIAA Championships,11:18.41,678.41,X,11000,1000 Free,Female
6,Kristin Winkle,MIAA Championships,11:21.18,681.18,X,11000,1000 Free,Female
7,Lauren Miedema,Calvin v Albion v Alma,11:34.04,694.04,,11000,1000 Free,Female
8,Eden Maring,Calvin at Wheaton,11:41.88,701.88,,11000,1000 Free,Female
9,Kailee Turner,2024 Calvin Kalamazoo Olivet,11:41.94,701.94,X,11000,1000 Free,Female
10,Ashley Sap,Calvin Winter Invitational,11:56.15,716.15,X,11000,1000 Free,Female
1,Charles Platt,MIAA Championships,22.43,22.43,R,250,50 Back,Male
2,David Bajwa,MIAA Championships,22.47,22.47,R,250,50 Back,Male
3,Corey Campbell,MIAA Championships,22.70,22.7,,250,50 Back,Male
4,Timothy Hays,Calvin Winter Invitational,23.03,23.03,R,250,50 Back,Male
5,Ted Turnage,Calvin Winter Invitational,24.05,24.05,R,250,50 Back,Male
6,Austin Martinson,Calvin Winter Invitational,24.41,24.41,R,250,50 Back,Male
7,Jacob Ziegler,Calvin Wayne State,24.99,24.99,R,250,50 Back,Male
8,Ryan Halberg,Calvin Winter Invitational,25.43,25.43,R,250,50 Back,Male
9,Jonathan Taylor,Calvin Winter Invitational,25.89,25.89,R,250,50 Back,Male
10,Zach Logan,MIAA Championships,25.97,25.97,X,250,50 Back,Male
11,Henry Phippen,MIAA Championships,26.09,26.09,,250,50 Back,Male
12,Mike Wormmeester,MIAA Championships,26.25,26.25,,250,50 Back,Male
13,Logan Yakubowski,GCC v Calvin,26.70,26.7,R,250,50 Back,Male
14,Carter Detweiler,MIAA Championships,26.99,26.99,,250,50 Back,Male
15,Jake Schotanus,Calvin Winter Invitational,27.16,27.16,X,250,50 Back,Male
16,Jazz Widney,Calvin v Albion v Alma,27.37,27.37,X,250,50 Back,Male
17,Julien Camy,GCC v Calvin,27.69,27.69,X,250,50 Back,Male
18,Peter Crudele,MIAA Championships,28.15,28.15,,250,50 Back,Male
19,Nate Kaestner,MIAA Championships,28.56,28.56,,250,50 Back,Male
1,Isabella Gable,Calvin Winter Invitational,26.53,26.53,R,250,50 Back,Female
2,Sadie Norman,MIAA Championships,26.54,26.54,R,250,50 Back,Female
3,Madi McNearney,Calvin Quad,27.72,27.72,R,250,50 Back,Female
4,Emma Merkel,Calvin Quad,27.77,27.77,R,250,50 Back,Female
5,Meghan Bengelink,MIAA Championships,28.37,28.37,R,250,50 Back,Female
6,Katie Phippen,MIAA Championships,28.80,28.8,R,250,50 Back,Female
7,Annie Connors,Calvin Winter Invitational,28.91,28.91,R,250,50 Back,Female
8,Lauren Robertson,MIAA Championships,28.94,28.94,R,250,50 Back,Female
9,Abby Merz,CMU Quad Meet,29.34,29.34,R,250,50 Back,Female
10,Natalie Fisher,MIAA Relays,29.63,29.63,R,250,50 Back,Female
11,Tori Beigle,MIAA Championships,30.30,30.3,R,250,50 Back,Female
12,Rachel Haitonic,Calvin Winter Invitational,30.92,30.92,R,250,50 Back,Female
13,Eden Maring,Calvin v Albion v Alma,31.29,31.29,R,250,50 Back,Female
14,Aly Hoover,Calvin Winter Invitational,31.38,31.38,X,250,50 Back,Female
15,Maya Bedford,MIAA Championships,32.65,32.65,,250,50 Back,Female
16,Ashley Sap,MIAA Championships,34.20,34.2,,250,50 Back,Female
17,Cailin Ogg,MIAA Championships,34.71,34.71,,250,50 Back,Female
1,David Bajwa,NCAA Division III Championship,47.44,47.44,,2100,100 Back,Male
2,Charles Platt,NCAA Division III Championship,48.15,48.15,,2100,100 Back,Male
3,Timothy Hays,Calvin Quad,50.27,50.27,R,2100,100 Back,Male
4,Ted Turnage,Calvin Winter Invitational,52.09,52.09,,2100,100 Back,Male
5,Austin Martinson,Calvin Winter Invitational,52.16,52.16,R,2100,100 Back,Male
6,Jacob Ziegler,MIAA Championships,52.57,52.57,R,2100,100 Back,Male
7,Corey Campbell,MIAA Championships,52.84,52.84,R,2100,100 Back,Male
8,Ryan Halberg,MIAA Championships,53.88,53.88,R,2100,100 Back,Male
9,Zach Logan,MIAA Championships,53.98,53.98,,2100,100 Back,Male
10,Julien Camy,GCC v Calvin,56.73,56.73,,2100,100 Back,Male
11,Jonathan Taylor,Calvin Winter Invitational,56.90,56.9,,2100,100 Back,Male
12,Jake Schotanus,Calvin Winter Invitational,57.43,57.43,,2100,100 Back,Male
13,Jazz Widney,Calvin v Albion v Alma,57.56,57.56,,2100,100 Back,Male
14,Mike Wormmeester,Calvin Winter Invitational,57.67,57.67,R,2100,100 Back,Male
15,Nate Kaestner,Calvin Winter Invitational,59.09,59.09,,2100,100 Back,Male
16,Henry Phippen,GCC v Calvin,59.51,59.51,,2100,100 Back,Male
1,Emma Merkel,Calvin Quad,57.01,57.01,R,2100,100 Back,Female
2,Isabella Gable,Calvin Winter Invitational,57.06,57.06,R,2100,100 Back,Female
3,Sadie Norman,MIAA Championships,58.22,58.22,R,2100,100 Back,Female
4,Madi McNearney,Calvin Quad,58.99,58.99,R,2100,100 Back,Female
5,Katie Phippen,Calvin Winter Invitational,1:00.63,60.63,R,2100,100 Back,Female
6,Annie Connors,Calvin Winter Invitational,1:01.51,61.51,R,2100,100 Back,Female
7,Natalie Fisher,GCC v Calvin,1:03.38,63.38,,2100,100 Back,Female
8,Lauren Robertson,MIAA Championships,1:03.70,63.7,,2100,100 Back,Female
9,Tori Beigle,Calvin Winter Invitational,1:04.44,64.44,,2100,100 Back,Female
10,Meghan Bengelink,Calvin at Wheaton,1:04.58,64.58,,2100,100 Back,Female
11,Abby Merz,GCC v Calvin,1:05.50,65.5,,2100,100 Back,Female
12,Rachel Haitonic,Hope vs. Calvin,1:05.63,65.63,,2100,100 Back,Female
13,Aly Hoover,Calvin Winter Invitational,1:07.30,67.3,,2100,100 Back,Female
14,Cailin Ogg,Calvin Winter Invitational,1:12.40,72.4,,2100,100 Back,Female
15,Maya Bedford,Calvin GVSU SVSU,1:13.22,73.22,,2100,100 Back,Female
1,David Bajwa,MIAA Championships,1:45.25,105.25,D3 B,2200,200 Back,Male
2,Charles Platt,MIAA Championships,1:47.25,107.25,D3 B,2200,200 Back,Male
3,Timothy Hays,Calvin Quad,1:50.21,110.21000000000001,,2200,200 Back,Male
4,Jacob Ziegler,MIAA Championships,1:54.34,114.34,,2200,200 Back,Male
5,Ryan Halberg,Calvin Winter Invitational,1:56.59,116.59,,2200,200 Back,Male
6,Austin Martinson,CMU Quad Meet,1:58.56,118.56,,2200,200 Back,Male
7,Ted Turnage,Calvin Winter Invitational,2:00.04,120.04,,2200,200 Back,Male
8,Mike Wormmeester,MIAA Championships,2:00.92,120.92,,2200,200 Back,Male
9,Henry Phippen,Calvin at Wheaton,2:09.25,129.25,,2200,200 Back,Male
10,Logan Yakubowski,Calvin at Wheaton,2:09.60,129.6,,2200,200 Back,Male
11,Nate Kaestner,Calvin Wayne State,2:12.43,132.43,,2200,200 Back,Male
12,Jonathan Taylor,Calvin Quad,2:14.46,134.46,,2200,200 Back,Male
1,Emma Merkel,Calvin Quad,2:01.32,121.32,D3 B,2200,200 Back,Female
2,Isabella Gable,MIAA Championships,2:02.50,122.5,D3 B,2200,200 Back,Female
3,Madi McNearney,Calvin GVSU SVSU,2:08.08,128.08,,2200,200 Back,Female
4,Sadie Norman,MIAA Championships,2:11.87,131.87,,2200,200 Back,Female
5,Abby Merz,Calvin Wayne State,2:14.52,134.52,,2200,200 Back,Female
6,Katie Phippen,Calvin Winter Invitational,2:15.67,135.67,,2200,200 Back,Female
7,Annie Connors,2024 Calvin Kalamazoo Olivet,2:17.08,137.07999999999998,,2200,200 Back,Female
8,Natalie Fisher,Calvin Wayne State,2:20.22,140.22,,2200,200 Back,Female
9,Tori Beigle,Calvin Winter Invitational,2:22.21,142.21,,2200,200 Back,Female
10,Rachel Haitonic,Calvin Winter Invitational,2:23.05,143.05,,2200,200 Back,Female
11,Grace Carpenter,Calvin at Wheaton,2:24.26,144.26,,2200,200 Back,Female
12,Maya Bedford,Calvin GVSU SVSU,2:35.76,155.76,,2200,200 Back,Female
1,Caleb Gemmen,Calvin Winter Invitational,25.51,25.51,X,350,50 Breast,Male
